vehicle_id,line_number,route_id,nearest_stop,delay_seconds,delay_minutes,timestamp_local,date,hour,dow,is_weekend,season,latitude,longitude
54/14,148,2148,2412233,2966,49.43,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.13795852661133,24.673330307006836
54/11,119,2119,2211220,-514,-8.57,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.174747467041016,24.800853729248047
17/48,583,5583,4520215,6387,106.45,2025-10-15 12:14:27,2025-10-15,12,2,0,autumn,60.295352935791016,24.942590713500977
22/1235,24,1024,1140157,6147,102.45,2025-10-15 12:14:27,2025-10-15,12,2,0,autumn,60.1783561706543,24.91670799255371
22/1219,24,1024,1040130,5486,91.43,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.17027282714844,24.930578231811523
21/28,713,4713,4940200,4166,69.43,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.28032302856445,25.118492126464844
21/27,719K,4719K,4940203,-4714,-78.57,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.2806396484375,25.116565704345703
22/1293,582,2582,2721276,4526,75.43,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.306217193603516,24.73592185974121
18/147,843,9843,1453189,-4913,-81.88,2025-10-15 12:18:07,2025-10-15,12,2,0,autumn,60.2098503112793,25.076148986816406
54/1,116,2116,2211292,2166,36.1,2025-10-15 12:18:06,2025-10-15,12,2,0,autumn,60.17683029174805,24.80638313293457
54/2,207,2207,2114202,7087,118.12,2025-10-15 12:18:07,2025-10-15,12,2,0,autumn,60.23065948486328,24.808151245117188
54/3,232,2232,3170255,-174,-2.9,2025-10-15 12:18:06,2025-10-15,12,2,0,autumn,60.218074798583984,24.707687377929688
54/4,168,2168,2611243,3006,50.1,2025-10-15 12:18:06,2025-10-15,12,2,0,autumn,60.204593658447266,24.662145614624023
54/6,149,2149,2413209,2346,39.1,2025-10-15 12:18:06,2025-10-15,12,2,0,autumn,60.15484619140625,24.6311092376709
90/6318,Z,3001Z,1174553,7086,118.1,2025-10-15 12:18:06,2025-10-15,12,2,0,autumn,60.20084762573242,24.932310104370117
18/947,173,6173,2314207,-1014,-16.9,2025-10-15 12:18:06,2025-10-15,12,2,0,autumn,60.16265106201172,24.73522186279297
36/149,961B,9961B,9651316,-6473,-107.88,2025-10-15 12:18:07,2025-10-15,12,2,0,autumn,60.37529754638672,25.01653289794922
36/192,313,4313,4160236,2886,48.1,2025-10-15 12:18:06,2025-10-15,12,2,0,autumn,60.25824737548828,24.8726806640625
36/197,413,4413,4170215,5466,91.1,2025-10-15 12:18:06,2025-10-15,12,2,0,autumn,60.27711868286133,24.85300636291504
12/2228,737K,4737K,4850206,-4734,-78.9,2025-10-15 12:18:06,2025-10-15,12,2,0,autumn,60.349334716796875,25.113737106323242
36/14,723,4723,4750205,4686,78.1,2025-10-15 12:18:06,2025-10-15,12,2,0,autumn,60.325862884521484,25.107166290283203
17/25,443K,4443K,4230262,-4674,-77.9,2025-10-15 12:18:06,2025-10-15,12,2,0,autumn,60.31343078613281,24.845224380493164
54/10,137,2137,2321215,1206,20.1,2025-10-15 12:18:06,2025-10-15,12,2,0,autumn,60.173423767089844,24.722227096557617
